phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm],z_mat_sin_15[mm]
0.00941,40.9686831971788,78.0246825427204,117.11344666066,155.78539119547,195.337832584698,230.423002863629,269.053659676616,306.875403648489,343.777436682414,382.919828554772,421.122839750006,458.837180974587,497.284715229947,528.897338776242,554.146318739703
0.01941,40.968107447457,78.0255918199911,117.113646264006,155.780896696197,195.33946164989,230.425696051082,269.059583574394,306.887209460401,343.805551801144,382.94844848323,421.157737925453,458.879462207497,497.332560878139,528.950126332019,554.20393657315
0.02941,40.967421410849,78.0265286417219,117.113904314397,155.77648505472,195.341117678314,230.428393170447,269.065418707008,306.898880957036,343.833708434597,382.977150343167,421.192577127716,458.921881100675,497.380652654271,529.003080094662,554.261736243973
0.03941,40.966627794828,78.0274893107054,117.114219793427,155.772173681772,195.34279413438,230.431083577425,269.071142045858,306.910372076329,343.861795461406,383.005820861454,421.227219862379,458.964270246129,497.428800762075,529.055991079862,554.319489643278
0.04941,40.9657297314337,78.02847003562,117.114591456044,155.767979592372,195.344484401883,230.433756654209,269.076731003538,306.921637468082,343.889702034907,383.034346888654,421.261529410395,459.006462353268,497.476815182966,529.108650472133,554.376968844783
0.05941,40.9647307649121,78.0294669459926,117.115017835465,155.763919338676,195.346181810109,230.436401851386,269.082163522987,306.932632672942,343.917318020604,383.06261584557,421.295370367653,459.048290909121,497.52450642596,529.160850448911,554.433947004339
0.06941,40.9636348377278,78.0304761074733,117.115497248966,155.760008944648,195.347879660163,230.439008729572,269.087418164531,306.943314297856,343.944534430818,383.090516167543,421.328609179356,459.089590835487,497.57168627551,529.212385000736,554.490199255182
0.07941,40.9624462750045,78.0314935373629,117.11602780452,155.756263842828,195.349571251408,230.441567000609,269.092474190502,306.953640187333,343.971243854811,383.11793774475,421.361114667097,459.130199140424,497.618168534303,529.263050744276,554.545503595375
0.08941,40.9611697674565,78.0325152203303,117.116607408268,155.752698813423,195.351249907904,230.444066568171,269.097311647075,306.963569589803,343.997340882691,383.144772356752,421.392758546569,459.169955561507,497.663769758101,529.312647724988,554.599641763956
0.09941,40.9598103528757,78.0335371242597,117.117233772777,155.749327925974,195.352909004762,230.446497567605,269.101911443018,306.973063318452,344.022722521409,383.170914099596,421.423415933835,459.208703198303,497.708309979705,529.360980206248,554.652400102305
0.10941,40.9583733962506,78.0345552161631,117.117904426074,155.746164483834,195.354541994285,230.448850404869,269.106255425039,306.982083905869,344.047288601235,383.196259803766,421.452965838194,459.246289131592,497.75161341921,529.407857441833,554.703570397365
0.11941,40.9568645685923,78.035565478097,117.118616721396,155.743220971663,195.356142431808,230.451115794387,269.110326449424,306.990595751917,344.070942171073,383.220709441346,421.481291639673,459.282565026867,497.793509177723,529.453094428711,554.752950703358
0.12941,40.9552898245544,78.0365639230189,117.119367847639,155.740509006161,195.357704001137,230.453284795703,269.114108449702,306.998565264229,344.093589881091,383.244166520788,421.508281549274,459.317387719743,497.833831911827,529.496512637161,554.800346138776
0.13941,40.9536553789321,78.0375466105229,117.12015484045,155.738039290215,195.35922053947,230.45534884876,269.117586500044,307.00596099078,344.115142351123,383.266538467715,421.533829050156,459.350619780959,497.87242248611,529.537940715351,554.845569655489
0.14941,40.9519676821356,78.0385096623904,117.12097459393,155.735821570667,195.360686061723,230.457299807682,269.120746874174,307.012753744016,344.135514523417,383.287736990274,421.557833318003,459.382130058752,497.909128601207,529.577215165582,554.888442776936
0.15941,40.9502333947332,78.0394492778957,117.121823872885,155.733864599841,195.36209478415,230.459129972927,269.123577099541,307.018916716044,344.154625998316,383.30767842758,421.580199618938,459.411794196451,497.943805394851,529.614180989542,554.928796302495
0.16941,40.9484593611648,78.0403617488056,117.122699325599,155.732176101008,195.363441147167,230.460832121668,269.126066006536,307.024425584429,344.172401351559,383.32628407989,421.600839683387,459.439495123257,497.976316013579,529.648692300013,554.966470975235
0.17941,40.9466525827305,78.0412434740143,117.123597497061,155.730762737902,195.364719837294,230.462399536302,269.128203772582,307.029258608184,344.188770431948,383.343480519197,421.619672054447,459.465123516268,498.006532152833,529.680612896618,555.001318110435
0.18941,40.9448201899593,78.0420909737553,117.124514842597,155.72963008842,195.365925808125,230.463826030959,269.129981960893,307.033396713573,344.203668638202,383.359199879009,421.636622409353,459.488578231924,498.034334563315,529.709816803345,555.033200182374
0.19941,40.9429694144684,78.0429009033342,117.125447741865,155.728782622613,195.367054300244,230.465105975917,269.131393553771,307.036823569382,344.217037173906,383.373380122195,421.651623852797,459.509766705178,498.059613521613,529.736188765718,555.061991367077
