phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm]
0.00565,40.7237679508118,77.8807277491174,117.006793908482,155.587395187304,195.208364729749,230.418384958166,269.074682578684,307.359967817047,343.767454819496,383.203366528702,421.537059217906,459.475097534529,498.291513424923,529.93445306248
0.01565,40.7214089405997,77.8793832249515,117.001536987104,155.576499450416,195.192009485585,230.394000456801,269.039919030369,307.310642948412,343.707115319942,383.12957687299,421.447836396818,459.372206655243,498.176460380497,529.80478106819
0.02565,40.7192004495158,77.8776973553653,116.995328487799,155.563657824219,195.172377956072,230.364519503571,268.997880408741,307.250727031916,343.63398610289,383.039434864528,421.338789206918,459.246453781679,498.034488226577,529.645598991932
0.03565,40.7171511934654,77.8756767937159,116.988192912678,155.548920988745,195.149547617888,230.330058446332,268.948732621034,307.18045652831,343.548355775951,382.933296252641,421.210348007648,459.098335202979,497.866157262394,529.457535052636
0.04565,40.7152692599261,77.8733295142369,116.980158422595,155.53234710355,195.123608571948,230.290753287133,268.892669631114,307.100108763166,343.450562282904,382.811579917941,421.063019697742,458.928435475503,497.672131813361,529.241331452752
0.05565,40.7135620760297,77.870664780568,116.971256726013,155.514001578188,195.094663187816,230.246759145479,268.829912693989,307.010000832408,343.340991569988,382.674766219194,420.89738571473,458.737425115857,497.453177609284,528.997841449116
0.06565,40.7120363792511,77.8676931091958,116.961522953861,155.493956814066,195.062825699698,230.198249646149,268.760709482619,306.910488350871,343.22007606275,382.523395097564,420.714099740273,458.526057954665,497.210158762374,528.728025985532
0.07565,40.7106981908185,77.8644262279494,116.950995520891,155.47229191871,195.028221755616,230.145416233975,268.685333110463,306.801964048857,343.088292959456,382.358063945713,420.513885120376,458.295168161549,496.944034356996,528.432949900368
0.08565,40.7095527919502,77.8608770297167,116.939715974071,155.449092393565,194.990987921527,230.088467418298,268.604081053625,306.684856222206,342.946162347808,382.179425250166,420.297532010676,458.045666953038,496.655854664597,528.113777724124
0.09565,40.7086047030123,77.8570595215615,116.927728828619,155.424449796557,194.951271142364,230.027627950076,268.517273976854,306.559627042009,342.794245152397,381.988184016242,420.065894258052,457.778538996416,496.346756998767,527.771769083563
0.10565,40.7078576656787,77.8529887694446,116.915081392322,155.398461380759,194.90922816211,229.963137934894,268.425254468023,306.426770730627,342.633140920989,381.78509498572,419.819886030891,457.494838523688,496.017961226779,527.408273730542
0.11565,40.7073146281645,77.8486808387648,116.901823578834,155.371229710576,194.8650249052,229.89525188538,268.328385686094,306.286811611225,342.463485458383,381.570959658223,419.560478211274,457.19568517101,495.670764955333,527.024726215154
0.12565,40.7069777335907,77.8441527309563,116.888007710686,155.342862256967,194.818835821695,229.824237716757,268.227049927894,306.140302038508,342.285948317184,381.346623128057,419.288694563353,456.882259559995,495.306538409493,526.622640224215
0.13565,40.7068483115261,77.839422316392,116.873688312799,155.313470973313,194.770843198805,229.750375689506,268.121647119364,305.987820218823,342.101230155377,381.112970749019,419.00560769302,456.555798638339,494.926719025036,526.203602607437
0.14565,40.7069268727407,77.8345082638571,116.858921897294,155.283171853582,194.721236441487,229.673957303303,268.012593237237,305.829967928252,341.910059971158,380.870924640303,418.712334814822,456.217590798154,494.532805775551,525.769267114852
0.15565,40.7072131071891,77.8294299668718,116.843766740468,155.252084474559,194.67021132495,229.595284146607,267.900318667362,305.667368137668,341.713192225907,380.621440047319,418.410033342826,455.868970791273,494.12635325667,525.321347870221
0.16565,40.7077058852347,77.8242074671544,116.8282826528,155.220331523925,194.617969222016,229.514666706425,267.785266506174,305.500662554162,341.511403866673,380.365501571777,418.099896322833,455.511314461593,493.708965550795,524.861612606167
0.17565,40.7084032621078,77.8188613755253,116.81253074291,155.18803831607,194.5647163084,229.432423142963,267.66789081199,305.33050908851,341.305491259923,380.104119285914,417.783147723974,455.14603331525,493.282289896515,524.391875687745
0.18565,40.7093024855804,77.8134127905658,116.79657317639,155.155332297532,194.510662749021,229.348878033993,267.548654813053,305.157579258706,341.096267048642,379.838324746196,417.461037608259,454.774568950048,492.848010187708,523.91399095197
0.19565,40.7104000068283,77.8078832153514,116.780472930466,155.122342544025,194.456021868585,229.26436109389,267.428029079374,304.982555539784,340.884556945207,379.569166922244,417.134837197157,454.39838736613,492.407840327982,523.429844391568
0.20565,40.7116914944366,77.8022944725894,116.764293545452,155.089199251033,194.401009309684,229.179205872406,267.306489665618,304.806128670401,340.671196472676,379.29770805702,416.805833854663,454.018973180347,491.963517466677,522.941346711828
0.21565,40.7131718514936,77.7966686184941,116.748098873989,155.056033219993,194.345842181754,229.093748438296,267.184516232324,304.628994926809,340.457027667358,379.025019474649,416.475326006664,453.637823767152,491.516795143136,522.450425789918
0.22565,40.7148352357064,77.7910278557414,116.731952829047,155.022975342077,194.290738204246,229.008326053011,267.062590152908,304.45185337497,340.242895755683,378.752177352385,416.14461801664,453.256443349149,491.069436366281,521.959019066438
0.23565,40.7166750824574,77.7853944458449,116.715919131689,154.990156081626,194.235914847384,228.923275839679,266.941192613904,304.275403111661,340.02964581848,378.480258473436,415.815015037942,452.876337060611,490.623206656827,521.469065899221
0.24565,40.718684130712,77.7797906212999,116.700061059592,154.957704961268,194.181588473913,228.838933452638,266.820802715937,304.100340505457,339.818119455825,378.210335977388,415.487817862946,452.499005007406,490.179867079573,520.982499909582
0.25565,40.7208544516747,77.7742384978417,116.684441197324,154.925750050749,194.127973485208,228.755631752756,266.701895582932,303.927356448488,339.609151465635,377.943475125018,415.16431778942,452.125936346759,489.741167293289,520.501241351189
0.26565,40.7231774800801,77.7687599871649,116.669121189344,154.894417461502,194.075281475135,228.673699493785,266.584940487021,303.757133629798,339.403566549099,377.680729094193,414.845791524359,451.758603410237,489.308838645607,520.027189531708
0.27565,40.7256440479963,77.7633767104484,116.654161496725,154.863830848943,194.023720394986,228.593460024921,266.470398996536,303.590343841083,339.202176055959,377.423134823459,414.533496145413,451.398455893122,488.884587340188,519.562215317095
0.28565,40.7282444210068,77.758109913026,116.639621158539,154.834110924458,193.973493732788,228.51523001469,266.358723154409,303.427645325442,339.005774782486,377.171708919719,414.228664139766,451.046915133127,488.470087703113,519.108153748149
0.29565,40.7309683366271,77.752980380541,116.625557558858,154.80537497901,193.92479971023,228.439318201201,266.250353694171,303.269680179586,338.815137834778,376.92744364615,413.932498540082,450.705368501028,488.066975575082,518.666796798443
0.30565,40.7338050448069,77.7480083569145,116.612026200284,154.777736420248,193.877830500373,228.366024173702,266.145718300572,303.117071819778,338.631017569775,376.691303006193,413.646168176676,450.375163925345,487.6768418555,518.239886302219
0.31565,40.7367433503548,77.7432134644524,116.599080484909,154.751304324937,193.832771469231,228.295637190235,266.045229921706,302.970422521494,338.454140626045,376.46421893907,413.370803064682,450.057604572681,487.301226223923,517.829107080169
