phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm]
0.00565,0.431138397337946,1.96566251431702,4.1730367159129,6.87051665084968,9.98454178433915,12.9234283323143,16.37740386587,17.8767846856877,23.7269870124652,27.4350597637909,31.3793907424178,34.8783189882368,38.7607351795609,41.8478144236796
0.01565,0.438755946629307,1.99321634550666,4.22663654674841,6.95984495096687,10.1146540037919,13.0980918803583,16.6062503256185,18.1924116348552,24.0634440595541,27.8392754841751,31.8634433604024,35.4377405132546,39.3857285192146,42.5295825920725
0.02565,0.448359449216495,2.0269835763958,4.29276524695065,7.06985102146514,10.2756460744554,13.3142264531373,16.8890255935569,18.5802168625653,24.4845149078988,28.3439488780973,32.462836141613,36.1288751026507,40.1584862229627,43.3725564201102
0.03565,0.459911004462221,2.06683094315089,4.37116183675127,7.20010071864122,10.4668826341771,13.5709790662348,17.2246136848904,19.0386698787554,24.9885377832299,28.9470882302352,33.1752035565785,36.9489951639503,41.0759585691879,44.3734090752116
0.04565,0.473365023655333,2.11260118641988,4.46151692062632,7.3500800064458,10.6876089596233,13.8673364343862,17.6116901867381,19.5659613788181,25.5735235375246,29.646313225114,33.9977342165618,37.8948640579485,42.1345247136928,45.5281906491933
0.05565,0.488668409928634,2.16411367196302,4.56347390833905,7.51919698514892,10.9369539448279,14.2021289704521,18.0487274849856,20.160010384099,26.2371634992653,30.4388643411245,34.9271819688264,38.9627488722472,43.330006979518,46.8323437467521
0.06565,0.505760767807955,2.22116510353369,4.67663042223868,7.70678422729784,11.2139335390491,14.5740354012448,18.5340007930802,20.8184724545696,26.9768385847112,31.3216137410938,35.9598787077185,40.1484351533544,44.6576873443241,48.2807214714228
0.07565,0.5245746415655,2.2835303251958,4.80053988526113,7.91210141174825,11.5174546303684,14.98158798199,19.0655949589751,21.5387489412603,27.7896296342254,32.2910776164303,37.091748851004,41.4472435392072,46.1123260602708,49.8676077380271
0.08565,0.545035781436792,2.3509632099114,4.93471328336472,8.13433824537364,11.8463193597041,15.4231782888443,19.6414120233597,22.3179972419414,28.6723289328645,33.3434299361237,38.3183254243294,42.8540482264758,47.6881823329074,51.5867398314501
0.09565,0.567063436650563,2.42319763089169,5.07862109544512,8.37261766092204,12.1992298482133,15.8970635666102,20.2591794993467,23.1531420195745,29.6214528697637,34.4745175463424,39.6347676903296,44.3632971997674,49.379036977466,53.4313331227156
0.10565,0.590570674115164,2.49994851187782,5.23169538311327,8.62599927839977,12.5747933194276,16.4013736065939,20.9164593409395,24.0408873392638,30.6332556863574,35.6798765610336,41.0358802528057,45.9690341428946,51.1782169631426,55.3941078448177
0.11565,0.615464721503755,2.58091295220668,5.39333203208874,8.89348311632172,12.9715275959045,16.9341181274649,21.6106575648859,24.9777296758048,31.7037442591775,36.9547499788425,42.5161335605813,47.6649219457345,53.0786217485009,57.4673178226347
0.12565,0.641647333384304,2.66577142222142,5.56289313636278,9.17401353818134,13.3878669487056,17.4931946299871,22.3390344879451,25.9599717404976,32.8286938588865,38.2941064568231,44.0696857301138,49.4442677139066,55.0727513040655,59.6427810435436
0.13565,0.669015178949416,2.75418902430905,5.73970951572192,9.46648341856572,13.8221682766126,18.0763966946228,23.0987155391654,26.9837370726566,34.0036648233552,39.6926601668508,45.6904056007406,51.3000491825697,57.1527357115115,61.9119119480862
0.14565,0.697460249815823,2.84581681458828,5.92308335669656,9.76973851247374,14.2727175906976,18.6814226892626,23.886702604503,28.0449853382297,35.2240200789798,41.1448916563704,47.3718969315689,53.2249424300929,59.3103662226374,64.2657553132495
0.15565,0.726870286284133,2.94029318003165,6.11229096651189,10.0825820105938,14.7377367786545,19.3058848527158,24.699885859008,29.1395282751509,36.4849434410937,42.6450696311543,49.1075236445161,55.2113507822283,61.5371276555434,66.6950215946399
0.16565,0.757129220376574,3.03724526558688,6.30658562917273,10.4037792625635,15.2153906221954,19.9473187181128,25.5350560398829,30.2630462224973,37.7814586212478,44.1872735741021,50.8904360138787,57.2514347927137,63.8242320001643,69.190123588071
0.17565,0.788117633904274,3.13629044566549,6.50520055241033,10.7320626495703,15.7037940398192,20.6031928390301,26.388917111977,31.4111051682171,39.1084488663474,45.7654171108169,52.71359769907,59.3371431819855,66.1626531005304,71.7412142658784
0.18565,0.8197132297563,3.23703783419114,6.7073518938612,11.0661365870642,16.2010195263667,21.270918779953,27.2580992757305,32.5791742481499,40.4606771521393,47.3732720297446,54.569813513842,61.4602446119006,68.5431622768816,74.3382256386393
0.19565,0.851791314550477,3.33908982724844,6.91224185453479,11.4046826378377,16.7051047600033,21.9478613316474,28.1391722662347,33.7626436272772,41.8328068513538,49.0044928620792,56.4517578223979,63.612360171068,70.95636474705,76.970908488927
0.20565,0.884225290741206,3.44204367224389,7.11906182736166,11.7463647152953,17.2140603466064,22.6313489111275,29.02865889092,34.9568426926354,43.2194227949345,50.6526419244293,58.3520034503306,65.7849964425838,73.3927367033733,79.6288728202898
0.21565,0.916887156242137,3.54549305738645,7.3269955883961,12.0898343563771,17.7258776709954,23.318684105173,29.9230487524467,36.157058486091,44.6150526432368,52.3112147254136,60.2630509962862,67.9695790236673,75.8426628988123,82.3016288618203
0.22565,0.949648009591924,3.64902971521448,7.53522251807922,12.433736043326,18.2385368240181,24.0071543157864,30.8188121026391,37.3585543042338,46.0141884828519,53.9736656359164,62.1773584286754,70.1574863649119,78.2964745939383,84.9786284664885
